"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",P4HA2,ENSG00000072682.18,protein-coding,Summary-PrediXcan(S-PrediXcan),5.85E+00,4.79E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",PNKD,ENSG00000127838.13,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",'-5.69E-02,4.79E-09,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",P4HA2,ENSG00000072682.18,protein-coding,Summary-PrediXcan(S-PrediXcan),5.85E+00,4.79E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",RNF123,ENSG00000164068.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.23E+00,4.79E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",BSN,ENSG00000164061.4,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-9.65E+00,4.79E-22,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",CCDC116,ENSG00000161180.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.80E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",GOLPH3L,ENSG00000143457.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,4.80E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,AAMP,ENSG00000127837.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.03E+00,4.80E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Ascending Colon",REXO2,ENSG00000076043.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.81E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",IRF3,ENSG00000126456.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.81E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",PNKD,ENSG00000127838.13,protein-coding,FUSION,5.03E+00,4.81E-07,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",IL1RL1,ENSG00000115602.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.46E+00,4.81E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",SENP7,ENSG00000138468.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.46E+00,4.81E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",IL1RL1,ENSG00000115602.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.46E+00,4.81E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,HLA-DRB5,ENSG00000198502.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.46E+00,4.81E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",GSDMA,ENSG00000167914.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.91E+00,4.81E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,HLA-DQA1,ENSG00000196735.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.39E+01,4.81E-44,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Coronary",NPIPB12,ENSG00000169203.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.82E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Substantia Nigra",NTN5,ENSG00000142233.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.82E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,UCKL1,ENSG00000198276.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,4.82E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Mesenchymal Tissue",UCKL1,ENSG00000198276.15,protein-coding,S-PrediXcan,5.03E+00,4.82E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",RGS14,ENSG00000169220.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.22E+00,4.82E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",CCDC116,ENSG00000161180.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.83E+00,4.82E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,CDHR4,ENSG00000187492.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.85E+00,4.83E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",RP11-92G12.3,ENSG00000260088.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.84E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",DYNLT5,ENSG00000152760,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.84E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",PGAP3,ENSG00000161395.13,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",'-8.82E-02,4.84E-09,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Prostate,XXbac-BPG170G13.32,ENSG00000272236.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.85E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",TUFM,ENSG00000178952.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.85E+00,4.85E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",P4HA2,ENSG00000072682.18,protein-coding,Summary-PrediXcan(S-PrediXcan),5.85E+00,4.85E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Gastroesophageal",P4HA2,ENSG00000072682.18,protein-coding,Summary-PrediXcan(S-PrediXcan),5.85E+00,4.85E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",C4A,ENSG00000244731.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.85E+00,4.85E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine",IRGM,ENSG00000237693.4,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.22E+00,4.85E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",RNF123,ENSG00000164068.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.22E+00,4.85E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",GPR25,ENSG00000170128.4,protein-coding,Summary-PrediXcan(S-PrediXcan),'-7.23E+00,4.85E-13,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,SH2B1,ENSG00000178188.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.83E+00,4.85E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",CUL2,ENSG00000108094.14,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.58E+00,4.86E-11,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,PPP1R14B,ENSG00000173457.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.87E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hypothalamus",PGAP3,ENSG00000161395.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.87E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,POLR2E,ENSG00000099817.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.87E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",GIGYF1,ENSG00000146830.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.87E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",ENTR1,ENSG00000165689,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.85E+00,4.87E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",ENTR1,ENSG00000165689,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.85E+00,4.87E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,HLA-DQB2,ENSG00000232629.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-7.83E+00,4.87E-15,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,HLA-DQB2,ENSG00000232629.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-7.83E+00,4.87E-15,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",CCDC88B,ENSG00000168071.21,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.88E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",GTF2IRD2,ENSG00000196275.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.89E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",HSPA4,ENSG00000170606.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.03E+00,4.89E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",SLC22A4,ENSG00000197208.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.46E+00,4.89E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Uterus,ATXN2L,ENSG00000168488.18,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.85E+00,4.89E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Uterus,ATXN2L,ENSG00000168488.18,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.85E+00,4.89E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,ARFRP1,ENSG00000101246.19,protein-coding,Summary-PrediXcan(S-PrediXcan),6.57E+00,4.89E-11,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,ARFRP1,ENSG00000101246.19,protein-coding,Summary-PrediXcan(S-PrediXcan),6.57E+00,4.89E-11,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,UBA7,ENSG00000182179.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.23E+00,4.89E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",HLA-DQB2,ENSG00000232629.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-9.41E+00,4.89E-21,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Adrenal Gland",ORMDL3,ENSG00000172057.9,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.46E+00,4.90E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Adrenal Gland",ORMDL3,ENSG00000172057.9,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.46E+00,4.90E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,SLC26A6,ENSG00000225697.12,protein-coding,Summary-PrediXcan(S-PrediXcan),6.22E+00,4.90E-10,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,SLC26A6,ENSG00000225697.12,protein-coding,Summary-PrediXcan(S-PrediXcan),6.22E+00,4.90E-10,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",RP11-973H7.1,ENSG00000260302.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",7.83E+00,4.90E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",HLA-DQA1,ENSG00000196735.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.16E+01,4.90E-31,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,HLA-DQB2,ENSG00000232629.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.16E+01,4.90E-31,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,ST7L,ENSG00000007341.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.91E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,KRT24,ENSG00000167916.4,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,4.91E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",NOTCH4,ENSG00000204301.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,4.91E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",NFATC2IP,ENSG00000176953.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.53E+00,4.91E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",C2,ENSG00000166278.14,protein-coding,Summary-PrediXcan(S-PrediXcan),'-9.17E+00,4.91E-20,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Immune Cell",ATF4,ENSG00000128272.14,protein-coding,S-PrediXcan,'-1.95E+00,4.92E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,SNAPC4,ENSG00000165684.4,protein-coding,Summary-PrediXcan(S-PrediXcan),6.22E+00,4.92E-10,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",HLA-DQB2,ENSG00000232629.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-9.17E+00,4.92E-20,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Prostate,CACNB1,ENSG00000067191.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.88E+00,4.92E-23,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TNFSF8,ENSG00000106952.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.45E+00,4.93E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Adrenal Gland",SULT1A2,ENSG00000197165.10,protein-coding,FUSION,'-5.85E+00,4.93E-09,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Sigmoid",ZNF300,ENSG00000145908.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.11E+00,4.93E-16,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Sigmoid",HLA-DQA2,ENSG00000237541.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.39E+01,4.93E-44,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",COL11A2,ENSG00000204248.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.94E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",GTF2I,ENSG00000263001.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.03E+00,4.94E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",LAT,ENSG00000213658.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,4.94E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,RGS14,ENSG00000169220.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.03E+00,4.94E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",ATP6V1G2,ENSG00000213760.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.45E+00,4.94E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,ATG16L1,ENSG00000085978.21,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.03E+01,4.94E-25,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TAP1,ENSG00000168394.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.95E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",PRKCB,ENSG00000166501.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.57E+00,4.95E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",NOTCH4,ENSG00000204301.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.65E+00,4.95E-22,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,AJ006998.2,ENSG00000229425.2,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",1.16E+01,4.95E-31,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",HLA-DQA2,ENSG00000237541.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.27E+01,4.95E-37,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,POLR2E,ENSG00000099817.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.96E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",TMBIM1,ENSG00000135926.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.03E+00,4.96E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",MED24,ENSG00000008838.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,4.96E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",NICN1,ENSG00000145029.13,protein-coding,FUSION,'-5.85E+00,4.96E-09,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",UBLCP1,ENSG00000164332.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.85E+00,4.96E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",INAVA,ENSG00000163362,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.22E+00,4.96E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",RGS14,ENSG00000169220.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.22E+00,4.96E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Colon,SLC22A5,ENSG00000197375.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.91E+00,4.96E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",CD244,ENSG00000122223.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.97E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",SULT1A1,ENSG00000196502.11,protein-coding,FUSION,6.22E+00,4.97E-10,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Sigmoid",LNPEP,ENSG00000113441.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.22E+00,4.97E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",SLC26A6,ENSG00000225697.12,protein-coding,Summary-PrediXcan(S-PrediXcan),6.57E+00,4.97E-11,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",SLC26A6,ENSG00000225697.12,protein-coding,Summary-PrediXcan(S-PrediXcan),6.57E+00,4.97E-11,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",RP11-1348G14.4,ENSG00000251417.2,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",'-7.23E+00,4.97E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,SLC22A5,ENSG00000197375.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.53E+00,4.97E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",AHSA2P,ENSG00000173209,pseudogene,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.98E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Left Ventricle",RGS14,ENSG00000169220.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.57E+00,4.98E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",HLA-DQA2,ENSG00000237541.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.38E+01,4.98E-43,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Ovary,CERS2,ENSG00000143418.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.57E+00,4.99E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",MST1R,ENSG00000164078.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-8.91E+00,4.99E-19,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",ARIH2,ENSG00000177479.19,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.06E+00,5.00E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",RNASET2,ENSG00000026297.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.56E+00,5.00E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,P4HA2,ENSG00000072682.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.83E+00,5.00E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Rectum,GSDMB,ENSG00000073605.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-8.91E+00,5.00E-19,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",HLA-DRB1,ENSG00000196126.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.65E+00,5.00E-22,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,EIF3C,ENSG00000184110.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.03E+00,5.01E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pituitary,PGAP3,ENSG00000161395.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.22E+00,5.01E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",ORMDL3,ENSG00000172057.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-9.88E+00,5.01E-23,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",LMAN2,ENSG00000169223.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.56E+00,5.02E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Coronary",DALRD3,ENSG00000178149.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.56E+00,5.02E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",CDHR4,ENSG00000187492.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.45E+00,5.02E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",RNF123,ENSG00000164068.15,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.45E+00,5.02E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",RNF123,ENSG00000164068.15,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.45E+00,5.02E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",HLA-DRA,ENSG00000204287.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.03E+00,5.03E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,GBA,ENSG00000177628.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.85E+00,5.03E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,DAG1,ENSG00000173402.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.65E+00,5.03E-18,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Colon Transverse",PGAP3,ENSG00000161395.13,protein-coding,FUSION,5.45E+00,5.04E-08,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",UBE2L3,ENSG00000185651.14,protein-coding,"Transcriptome-Wide Summary Statistics-based Mendelian Randomization(TWMR)",6.80E-02,5.04E-11,TWASP000090
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,SLC12A9,ENSG00000146828.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.56E+00,5.05E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",APOBR,ENSG00000184730.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.85E+00,5.05E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",RNF123,ENSG00000164068.15,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.22E+00,5.05E-10,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",RNF123,ENSG00000164068.15,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.22E+00,5.05E-10,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",NPIPB7,ENSG00000233232.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.53E+00,5.05E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",VARS1,ENSG00000204394,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.56E+00,5.06E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Vagina,HEATR3,ENSG00000155393.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.45E+00,5.06E-08,TWASP000186
